Removed Pin From Net: NetName=GND Pin=J1-3
Removed Pin From Net: NetName=GND Pin=J1-4
Removed Pin From Net: NetName=GND Pin=J3-3
Removed Pin From Net: NetName=GND Pin=J3-4
Removed Pin From Net: NetName=GND Pin=Tele_1-S1
Removed Pin From Net: NetName=GND Pin=Tele_1-S2
Removed Pin From Net: NetName=GND Pin=Tele_2-S1
Removed Pin From Net: NetName=GND Pin=Tele_2-S2
Removed Pin From Net: NetName=GND Pin=Tele_3-S1
Removed Pin From Net: NetName=GND Pin=Tele_3-S2
Removed Pin From Net: NetName=GND Pin=Tele_4-S1
Removed Pin From Net: NetName=GND Pin=Tele_4-S2
Change Component Comment : Designator=R24 Old Comment=1k New Comment=1kOhm
Change Component Comment : Designator=D1 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=D2 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=D3 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=D7 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=D8 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=D9 Old Comment=BZD27C16PWHCT-ND New Comment=16V
Change Component Comment : Designator=C14 Old Comment=Cap_0603 New Comment=1u
Change Component Comment : Designator=C15 Old Comment=Cap_0603 New Comment=4u7
Change Component Comment : Designator=C16 Old Comment=Cap_0603 New Comment=4u7
Change Component Comment : Designator=C17 Old Comment=Cap_0603 New Comment=4u7
Change Component Comment : Designator=C13 Old Comment=Cap_0603 New Comment=100n
Change Component Comment : Designator=R1 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R2 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R3 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R7 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R8 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R9 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R10 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R11 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R12 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R16 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R17 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R18 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R22 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R23 Old Comment=RES_0603 New Comment=4R3
Change Component Comment : Designator=R27 Old Comment=RES_0603 New Comment=46k4
Change Component Comment : Designator=R4 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R5 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R6 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R13 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R14 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R15 Old Comment=RES_0603 New Comment=100k
Change Component Comment : Designator=R26 Old Comment=RES_0603 New Comment=200Ohm
Change Component Comment : Designator=R34 Old Comment=RES_0603 New Comment=*
Change Component Comment : Designator=R35 Old Comment=RES_0603 New Comment=*
Change Component Comment : Designator=R20 Old Comment=Shunt_res New Comment=2mOhm
Change Component Comment : Designator=D10 Old Comment=SMF5.0A-TPMSCT-ND New Comment=5V
Change Component Comment : Designator=D11 Old Comment=SMF5.0A-TPMSCT-ND New Comment=5V
Change Component Comment : Designator=R19 Old Comment=WSLP25122L000FEA New Comment=2mOhm
Change Component Description : Designator=D1 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=D2 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=D3 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=D7 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=D8 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=D9 Old Description= New Description=BZD27C16PWHCT-ND
Change Component Description : Designator=R19 Old Description=RES 2512 New Description=WSLP25122L000FEA
Change Component Description : Designator=R20 Old Description=RES 2512 New Description=WSLP25122L000FEA
Add Class Member: Failed to add class member : Component * LOGO
Added Room: Name=thesis
